IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
FCVW21-01/06/2021 17:08:38-1;96711420;77130027;202106;376;104;1;FCVW21;22581718;01/06/2021 17:08:38;01/06/2021 21:08:38;1;-23,735345;-70,440443;33;01/06/2021 17:08:38;01/06/2021 21:08:38;17;1;0
FCVW21-01/06/2021 17:08:38-29;96711420;77130027;202106;376;104;1;FCVW21;22581718;01/06/2021 17:08:38;01/06/2021 21:08:38;29;-23,554912;-70,391332;42;01/06/2021 18:55:34;01/06/2021 22:55:34;17;1;0
FXZW67-01/06/2021 06:17:05-1;96711420;77130027;202106;376;104;0;FXZW67;22542625;01/06/2021 06:17:05;01/06/2021 10:17:05;1;-23,550415;-70,386722;19;01/06/2021 06:17:05;01/06/2021 10:17:05;06;1;0
FXZW67-01/06/2021 06:17:05-18;96711420;77130027;202106;376;104;0;FXZW67;22542625;01/06/2021 06:17:05;01/06/2021 10:17:05;18;-23,734945;-70,440338;54;01/06/2021 07:45:32;01/06/2021 11:45:32;06;1;0
FXZW67-01/06/2021 07:59:04-2;96711420;77130027;202106;376;104;1;FXZW67;22548744;01/06/2021 07:59:04;01/06/2021 11:59:04;2;-23,701990;-70,423385;45;01/06/2021 07:59:04;01/06/2021 11:59:04;07;1;0
FXZW67-01/06/2021 09:46:05-1;96711420;77130027;202106;376;104;0;FXZW67;22555165;01/06/2021 09:46:05;01/06/2021 13:46:05;1;-23,550470;-70,386852;18;01/06/2021 09:46:05;01/06/2021 13:46:05;09;1;0
FXZW67-01/06/2021 09:46:05-18;96711420;77130027;202106;376;104;0;FXZW67;22555165;01/06/2021 09:46:05;01/06/2021 13:46:05;18;-23,734020;-70,439748;46;01/06/2021 11:13:06;01/06/2021 15:13:06;09;1;0
FXZW67-01/06/2021 13:20:36-1;96711420;77130027;202106;376;104;0;FXZW67;22568036;01/06/2021 13:20:36;01/06/2021 17:20:36;1;-23,550572;-70,387680;12;01/06/2021 13:20:36;01/06/2021 17:20:36;13;1;0
FXZW67-01/06/2021 13:20:36-2;96711420;77130027;202106;376;104;0;FXZW67;22568036;01/06/2021 13:20:36;01/06/2021 17:20:36;2;-23,558700;-70,391192;36;01/06/2021 13:23:08;01/06/2021 17:23:08;13;1;0
FXZW67-01/06/2021 14:56:56-1;96711420;77130027;202106;376;104;1;FXZW67;22573816;01/06/2021 14:56:56;01/06/2021 18:56:56;1;-23,735588;-70,440505;38;01/06/2021 14:56:56;01/06/2021 18:56:56;14;1;0
FXZW67-01/06/2021 14:56:56-29;96711420;77130027;202106;376;104;1;FXZW67;22573816;01/06/2021 14:56:56;01/06/2021 18:56:56;29;-23,556222;-70,391207;0;01/06/2021 16:30:03;01/06/2021 20:30:03;14;1;0
JDYK21-01/06/2021 08:08:02-1;96711420;77130027;202106;376;104;0;JDYK21;22549282;01/06/2021 08:08:02;01/06/2021 12:08:02;1;-23,550483;-70,387398;14;01/06/2021 08:08:02;01/06/2021 12:08:02;08;1;0
JDYK21-01/06/2021 08:08:02-2;96711420;77130027;202106;376;104;0;JDYK21;22549282;01/06/2021 08:08:02;01/06/2021 12:08:02;2;-23,559598;-70,391228;23;01/06/2021 08:11:33;01/06/2021 12:11:33;08;1;0
JDYK21-01/06/2021 09:41:35-1;96711420;77130027;202106;376;104;1;JDYK21;22554895;01/06/2021 09:41:35;01/06/2021 13:41:35;1;-23,735798;-70,440618;24;01/06/2021 09:41:35;01/06/2021 13:41:35;09;0;0
JDYK21-01/06/2021 09:41:35-2;96711420;77130027;202106;376;104;1;JDYK21;22554895;01/06/2021 09:41:35;01/06/2021 13:41:35;2;-23,703022;-70,423727;48;01/06/2021 09:48:35;01/06/2021 13:48:35;09;0;0
JDYK21-01/06/2021 09:41:35-29;96711420;77130027;202106;376;104;1;JDYK21;22554895;01/06/2021 09:41:35;01/06/2021 13:41:35;29;-23,554990;-70,391243;54;01/06/2021 11:18:05;01/06/2021 15:18:05;09;0;0
JDYK21-01/06/2021 11:46:05-1;96711420;77130027;202106;376;104;0;JDYK21;22562365;01/06/2021 11:46:05;01/06/2021 15:46:05;1;-23,550512;-70,387462;15;01/06/2021 11:46:05;01/06/2021 15:46:05;11;0;0
JDYK21-01/06/2021 11:46:05-2;96711420;77130027;202106;376;104;0;JDYK21;22562365;01/06/2021 11:46:05;01/06/2021 15:46:05;2;-23,559657;-70,391217;24;01/06/2021 11:49:07;01/06/2021 15:49:07;11;0;0
JDYK21-01/06/2021 11:46:05-18;96711420;77130027;202106;376;104;0;JDYK21;22562365;01/06/2021 11:46:05;01/06/2021 15:46:05;18;-23,734113;-70,439858;45;01/06/2021 13:14:23;01/06/2021 17:14:23;11;0;0
JDYK21-01/06/2021 13:26:34-2;96711420;77130027;202106;376;104;1;JDYK21;22568394;01/06/2021 13:26:34;01/06/2021 17:26:34;2;-23,701560;-70,423263;29;01/06/2021 13:26:34;01/06/2021 17:26:34;13;1;0
JDYK21-01/06/2021 15:16:12-1;96711420;77130027;202106;376;104;0;JDYK21;22574972;01/06/2021 15:16:12;01/06/2021 19:16:12;1;-23,550433;-70,386628;8;01/06/2021 15:16:12;01/06/2021 19:16:12;15;0;0
JDYK21-01/06/2021 15:16:12-2;96711420;77130027;202106;376;104;0;JDYK21;22574972;01/06/2021 15:16:12;01/06/2021 19:16:12;2;-23,558885;-70,391207;39;01/06/2021 15:19:32;01/06/2021 19:19:32;15;0;0
JDYK21-01/06/2021 15:16:12-18;96711420;77130027;202106;376;104;0;JDYK21;22574972;01/06/2021 15:16:12;01/06/2021 19:16:12;18;-23,735250;-70,440433;47;01/06/2021 16:44:38;01/06/2021 20:44:38;15;0;0
JDYK21-01/06/2021 18:46:03-29;96711420;77130027;202106;376;104;1;JDYK21;22587563;01/06/2021 18:46:03;01/06/2021 22:46:03;29;-23,555042;-70,391260;34;01/06/2021 18:46:03;01/06/2021 22:46:03;18;1;0
HLZW79-01/06/2021 08:23:13-1;96711420;77130027;202106;376;104;0;HLZW79;22550193;01/06/2021 08:23:13;01/06/2021 12:23:13;1;-23,550415;-70,386768;28;01/06/2021 08:23:13;01/06/2021 12:23:13;08;1;0
HLZW79-01/06/2021 08:23:13-18;96711420;77130027;202106;376;104;0;HLZW79;22550193;01/06/2021 08:23:13;01/06/2021 12:23:13;18;-23,734087;-70,439867;45;01/06/2021 09:48:34;01/06/2021 13:48:34;08;1;0
HLZW79-01/06/2021 10:03:08-2;96711420;77130027;202106;376;104;1;HLZW79;22556188;01/06/2021 10:03:08;01/06/2021 14:03:08;2;-23,702217;-70,423478;46;01/06/2021 10:03:08;01/06/2021 14:03:08;10;1;0
HLZW79-01/06/2021 12:05:31-1;96711420;77130027;202106;376;104;0;HLZW79;22563531;01/06/2021 12:05:31;01/06/2021 16:05:31;1;-23,550448;-70,386650;28;01/06/2021 12:05:31;01/06/2021 16:05:31;12;1;0
HLZW79-01/06/2021 12:05:31-2;96711420;77130027;202106;376;104;0;HLZW79;22563531;01/06/2021 12:05:31;01/06/2021 16:05:31;2;-23,560368;-70,391162;47;01/06/2021 12:08:01;01/06/2021 16:08:01;12;1;0
HLZW79-01/06/2021 13:39:34-1;96711420;77130027;202106;376;104;1;HLZW79;22569174;01/06/2021 13:39:34;01/06/2021 17:39:34;1;-23,734463;-70,440103;44;01/06/2021 13:39:34;01/06/2021 17:39:34;13;1;0
HLZW79-01/06/2021 13:39:34-29;96711420;77130027;202106;376;104;1;HLZW79;22569174;01/06/2021 13:39:34;01/06/2021 17:39:34;29;-23,555040;-70,391255;49;01/06/2021 15:16:30;01/06/2021 19:16:30;13;1;0
HLZW79-01/06/2021 17:05:01-1;96711420;77130027;202106;376;104;1;HLZW79;22581501;01/06/2021 17:05:01;01/06/2021 21:05:01;1;-23,735060;-70,440367;29;01/06/2021 17:05:01;01/06/2021 21:05:01;17;0;0
HLZW79-01/06/2021 17:05:01-2;96711420;77130027;202106;376;104;1;HLZW79;22581501;01/06/2021 17:05:01;01/06/2021 21:05:01;2;-23,701598;-70,423272;56;01/06/2021 17:12:00;01/06/2021 21:12:00;17;0;0
HLZW79-01/06/2021 17:05:01-29;96711420;77130027;202106;376;104;1;HLZW79;22581501;01/06/2021 17:05:01;01/06/2021 21:05:01;29;-23,555275;-70,391205;35;01/06/2021 19:04:31;01/06/2021 23:04:31;17;0;0
DPYV64-01/06/2021 06:52:35-1;96711420;77130027;202106;376;104;0;DPYV64;22544755;01/06/2021 06:52:35;01/06/2021 10:52:35;1;-23,550723;-70,388320;27;01/06/2021 06:52:35;01/06/2021 10:52:35;06;1;0
DPYV64-01/06/2021 08:34:01-2;96711420;77130027;202106;376;104;1;DPYV64;22550841;01/06/2021 08:34:01;01/06/2021 12:34:01;2;-23,701640;-70,423277;49;01/06/2021 08:34:01;01/06/2021 12:34:01;08;1;0
DPYV64-01/06/2021 08:34:01-29;96711420;77130027;202106;376;104;1;DPYV64;22550841;01/06/2021 08:34:01;01/06/2021 12:34:01;29;-23,556292;-70,391218;30;01/06/2021 10:05:01;01/06/2021 14:05:01;08;1;0
DPYV64-01/06/2021 10:16:33-1;96711420;77130027;202106;376;104;0;DPYV64;22556993;01/06/2021 10:16:33;01/06/2021 14:16:33;1;-23,550435;-70,386703;19;01/06/2021 10:16:33;01/06/2021 14:16:33;10;1;0
DPYV64-01/06/2021 10:16:33-18;96711420;77130027;202106;376;104;0;DPYV64;22556993;01/06/2021 10:16:33;01/06/2021 14:16:33;18;-23,735367;-70,440483;66;01/06/2021 11:38:34;01/06/2021 15:38:34;10;1;0
DPYV64-01/06/2021 11:52:31-1;96711420;77130027;202106;376;104;1;DPYV64;22562751;01/06/2021 11:52:31;01/06/2021 15:52:31;1;-23,734508;-70,440123;47;01/06/2021 11:52:31;01/06/2021 15:52:31;11;1;0
DPYV64-01/06/2021 11:52:31-2;96711420;77130027;202106;376;104;1;DPYV64;22562751;01/06/2021 11:52:31;01/06/2021 15:52:31;2;-23,702410;-70,423558;52;01/06/2021 11:57:35;01/06/2021 15:57:35;11;1;0
DPYV64-01/06/2021 13:51:02-1;96711420;77130027;202106;376;104;0;DPYV64;22569862;01/06/2021 13:51:02;01/06/2021 17:51:02;1;-23,550478;-70,386917;26;01/06/2021 13:51:02;01/06/2021 17:51:02;13;1;0
DPYV64-01/06/2021 13:51:02-2;96711420;77130027;202106;376;104;0;DPYV64;22569862;01/06/2021 13:51:02;01/06/2021 17:51:02;2;-23,558685;-70,391197;40;01/06/2021 13:54:02;01/06/2021 17:54:02;13;1;0
DPYV64-01/06/2021 15:31:32-2;96711420;77130027;202106;376;104;1;DPYV64;22575892;01/06/2021 15:31:32;01/06/2021 19:31:32;2;-23,702282;-70,423517;49;01/06/2021 15:31:32;01/06/2021 19:31:32;15;1;0
DPYV64-01/06/2021 15:31:32-29;96711420;77130027;202106;376;104;1;DPYV64;22575892;01/06/2021 15:31:32;01/06/2021 19:31:32;29;-23,555768;-70,391248;34;01/06/2021 17:03:31;01/06/2021 21:03:31;15;1;0
FLHK59-01/06/2021 08:00:33-1;96711420;77130027;202106;376;104;0;FLHK59;22548833;01/06/2021 08:00:33;01/06/2021 12:00:33;1;-23,550492;-70,387353;30;01/06/2021 08:00:33;01/06/2021 12:00:33;08;1;0
FLHK59-01/06/2021 08:00:33-2;96711420;77130027;202106;376;104;0;FLHK59;22548833;01/06/2021 08:00:33;01/06/2021 12:00:33;2;-23,560287;-70,391193;34;01/06/2021 08:03:33;01/06/2021 12:03:33;08;1;0
FLHK59-01/06/2021 09:34:05-1;96711420;77130027;202106;376;104;1;FLHK59;22554445;01/06/2021 09:34:05;01/06/2021 13:34:05;1;-23,735100;-70,440393;34;01/06/2021 09:34:05;01/06/2021 13:34:05;09;1;0
FLHK59-01/06/2021 09:34:05-29;96711420;77130027;202106;376;104;1;FLHK59;22554445;01/06/2021 09:34:05;01/06/2021 13:34:05;29;-23,556182;-70,391205;44;01/06/2021 11:14:35;01/06/2021 15:14:35;09;1;0
FLHK59-01/06/2021 11:36:35-1;96711420;77130027;202106;376;104;0;FLHK59;22561795;01/06/2021 11:36:35;01/06/2021 15:36:35;1;-23,550430;-70,386575;21;01/06/2021 11:36:35;01/06/2021 15:36:35;11;0;0
FLHK59-01/06/2021 11:36:35-2;96711420;77130027;202106;376;104;0;FLHK59;22561795;01/06/2021 11:36:35;01/06/2021 15:36:35;2;-23,560293;-70,391160;45;01/06/2021 11:39:37;01/06/2021 15:39:37;11;0;0
FLHK59-01/06/2021 11:36:35-18;96711420;77130027;202106;376;104;0;FLHK59;22561795;01/06/2021 11:36:35;01/06/2021 15:36:35;18;-23,734993;-70,440350;50;01/06/2021 13:04:08;01/06/2021 17:04:08;11;0;0
FLHK59-01/06/2021 13:10:38-1;96711420;77130027;202106;376;104;1;FLHK59;22567438;01/06/2021 13:10:38;01/06/2021 17:10:38;1;-23,734303;-70,440008;33;01/06/2021 13:10:38;01/06/2021 17:10:38;13;0;0
FLHK59-01/06/2021 13:10:38-2;96711420;77130027;202106;376;104;1;FLHK59;22567438;01/06/2021 13:10:38;01/06/2021 17:10:38;2;-23,701822;-70,423352;30;01/06/2021 13:17:02;01/06/2021 17:17:02;13;0;0
FLHK59-01/06/2021 13:10:38-29;96711420;77130027;202106;376;104;1;FLHK59;22567438;01/06/2021 13:10:38;01/06/2021 17:10:38;29;-23,556015;-70,391240;51;01/06/2021 14:46:02;01/06/2021 18:46:02;13;0;0
